position_diff,jaccard
0,1.0
0,1.0
1,0.5
1,1.0
4,0.6666666666666666
1,0.7142857142857143
1,0.5555555555555556
2,0.7777777777777778
2,1.0
12,0.8181818181818182
0,0.8333333333333334
1,0.7142857142857143
3,0.8571428571428571
3,0.75
3,0.6666666666666666
4,0.6842105263157895
1,0.7894736842105263
6,0.8
0,0.8095238095238095
5,0.8181818181818182
7,0.8260869565217391
8,0.8333333333333334
2,0.84
4,0.8461538461538461
2,0.8518518518518519
6,0.8571428571428571
0,0.8620689655172413
4,0.8666666666666667
4,0.8709677419354839
4,0.9354838709677419
8,0.8787878787878788
1,0.9393939393939394
8,0.8857142857142857
2,0.8378378378378378
6,0.8421052631578947
12,0.8461538461538461
3,0.8048780487804879
9,0.7674418604651163
6,0.7727272727272727
5,0.8181818181818182
7,0.8636363636363636
2,0.8260869565217391
0,0.8297872340425532
11,0.8723404255319149
8,0.9148936170212766
4,0.8775510204081632
2,0.88
10,0.92
8,0.9215686274509803
4,0.9607843137254902
0,0.9615384615384616
4,0.9259259259259259
11,0.9272727272727272
1,0.8947368421052632
9,0.896551724137931
3,0.9310344827586207
5,0.9655172413793104
1,0.9333333333333333
5,0.9666666666666667
2,0.9672131147540983
1,0.9365079365079365
1,0.9682539682539683
10,0.9384615384615385
2,0.9393939393939394
10,0.9117647058823529
1,0.9130434782608695
2,0.9420289855072463
8,0.9428571428571428
1,0.9436619718309859
6,0.9178082191780822
9,0.8933333333333333
30,0.8701298701298701
4,0.8961038961038961
7,0.8734177215189873
1,0.8987341772151899
13,0.9240506329113924
5,0.925
14,0.9024390243902439
9,0.9036144578313253
9,0.9047619047619048
3,0.9285714285714286
1,0.9069767441860465
4,0.9302325581395349
2,0.9310344827586207
14,0.9318181818181818
20,0.9111111111111111
2,0.9120879120879121
9,0.8924731182795699
5,0.8936170212765957
6,0.8947368421052632
13,0.8762886597938144
1,0.8775510204081632
24,0.8787878787878788
20,0.88
0,0.8811881188118812
2,0.8640776699029126
4,0.8653846153846154
11,0.8846153846153846
8,0.8679245283018868
23,0.8691588785046729
2,0.8703703703703703
6,0.8715596330275229
3,0.8899082568807339
16,0.908256880733945
6,0.8918918918918919
7,0.9099099099099099
16,0.9279279279279279
16,0.9285714285714286
21,0.9122807017543859
5,0.9130434782608695
25,0.9304347826086956
27,0.9145299145299145
2,0.8991596638655462
12,0.9
19,0.9166666666666666
3,0.9016393442622951
12,0.9024390243902439
3,0.888
9,0.904
7,0.9047619047619048
23,0.905511811023622
4,0.90625
14,0.9069767441860465
29,0.9076923076923077
35,0.9083969465648855
4,0.9236641221374046
7,0.9242424242424242
5,0.924812030075188
4,0.9253731343283582
14,0.9402985074626866
5,0.9264705882352942
5,0.9130434782608695
34,0.9136690647482014
54,0.900709219858156
46,0.8881118881118881
4,0.9020979020979021
9,0.9027777777777778
11,0.903448275862069
11,0.9172413793103448
10,0.9047619047619048
7,0.9054054054054054
12,0.8933333333333333
31,0.8940397350993378
19,0.9072847682119205
