smiles_1,smiles_2,props_1,props_2,sim,ts_sali
Cc1cc(C)nc(OCC2CC3CCC2N3C(=O)c2ccc(C)nc2-n2nccn2)n1,C[C@@H]1CC[C@@H](Nc2cc(C#N)ccn2)CN1C(=O)c1ccccc1-n1nccn1,5.0,8.954242509439325,0.24719101123595505,0.2863476301300426
C#Cc1ccnc(O[C@@H]2CC[C@@H](C)N(C(=O)c3ccccc3-n3nccn3)C2)c1,C[C@@H]1CC[C@@H](Oc2cc(C#N)ccn2)CN1C(=O)c1ccc(OCCO)cc1-n1nccn1,8.778151250383644,4.962972120244225,0.6266666666666667,0.4563160983767301
Cc1nc(N2CC3CN(C(=O)c4c(F)cccc4-n4nccn4)CC3C2)[nH]c(=O)n1,C[C@@H]1CC[C@@H](Nc2cc(C#N)ccn2)CN1C(=O)c1ccccc1-n1nccn1,5.0,8.954242509439325,0.27906976744186046,0.29830981171382875
O=C(c1ccccc1-c1ccc(C(F)(F)F)cc1)N1CC2CN(c3cnc4ccccc4n3)CC2C1,C[C@@H]1CS[C@@H](COc2ccc(F)cn2)CN1C(=O)c1ccccc1-n1nccn1,5.0,8.954242509439325,0.21348314606741572,0.27453130735737247
Cc1cc(C)nc(N2CC3CN(C(=O)c4cccc(C)c4-n4ccnn4)CC3C2)n1,COc1nc(CNC(=O)c2cc(-c3cncc(C)c3)ncc2-c2nccs2)ccc1C1CC1,5.0,8.986771734266245,0.22340425531914893,0.282514597361771
Cc1nc(N2CC3CN(C(=O)c4cc(F)ccc4-c4ncccn4)CC3C2)cc(=O)[nH]1,C[C@@H]1CC[C@@H](Oc2cc(C#N)ccn2)CN1C(=O)c1cc(F)ccc1-c1ncccn1,5.0,9.0,0.3855421686746988,0.35237170425131237
O=C(c1ccccc1-c1ccc(C(F)(F)F)cc1)N1CC2CN(c3nccc(-c4ccccc4)n3)CC2C1,Cc1c(C#N)ccnc1O[C@@H]1CC[C@@H](C)N(C(=O)c2ccccc2OC(F)(F)F)C1,5.0,8.903089986991944,0.2696629213483146,0.28712267104961714
CCCOc1ncccc1C(=O)N1CC2CN(c3ccc(C(F)(F)F)cn3)CC2C1,COC(=O)c1cccnc1S[C@@H]1CC[C@@H](C)N(C(=O)c2ccccc2-n2nccn2)C1,5.0,8.903089986991944,0.26744186046511625,0.2863016551881189
COc1ccc(C(C)(C)C)cc1C(=O)N1CC2CN(c3nc(C)cc(C)n3)CC2C1,COc1ccc(CNC(=O)c2cc(-c3cc(C)cc(Cl)c3)nnc2N2CCOCC2)cc1OC,5.0,8.982271233039569,0.23255813953488372,0.28511517338799086
Cc1cc(C)nc(N2CC3CN(C(=O)c4cnccc4-n4ccnn4)CC3C2)n1,COc1nc(CNC(=O)c2cc(-c3cncc(C)c3)ncc2-c2nccs2)ccc1C1CC1,5.0,8.986771734266245,0.22340425531914893,0.282514597361771
Cc1ccc(C(=O)N2C3CCC2C(COc2nccc(C(F)(F)F)n2)C3)c(-n2nccn2)n1,C[C@@H]1CS[C@@H](COc2ccc(F)cn2)CN1C(=O)c1ccccc1-n1nccn1,5.0,8.954242509439325,0.25263157894736843,0.2883337841314023
Cc1ccoc1C(=O)N1CC2CN(c3cnc4ccccc4n3)CC2C1,C[C@@H]1CC[C@@H](Nc2cc(C#N)ccn2)CN1C(=O)c1ccccc1-n1nccn1,5.0,8.954242509439325,0.21176470588235294,0.2739509365354028
COc1cnc(C)nc1C(=O)N1CC[C@H]2CN(c3nc(C)cc(C)n3)[C@H]2C1,COc1nc(CNC(=O)c2cc(-c3cncc(C)c3)ncc2-c2nccs2)ccc1C1CC1,5.0,8.986771734266245,0.22340425531914893,0.282514597361771
Cc1ccc(-n2nccn2)c(C(=O)N2CCN(c3ncc4c(C)coc4n3)CC[C@H]2C)c1,Cc1ncc(C)c(N2CC[C@@H](C)N(C(=O)c3ccccc3-n3nccn3)CC2)n1,8.778151250383644,5.443697499232713,0.5131578947368421,0.2941217364717049
COc1cc(C)c(CNC(=O)c2cc(-c3cncc(C)c3)nc3onc(-c4cccs4)c23)nc1OC,CC(/C=C/c1ccccc1)=N/Nc1nc(Nc2ccccc2)nc(-n2nc(C)cc2C)n1,8.845098040014257,4.749579997691106,0.10476190476190476,0.2592406687220614
COc1cc(C(=O)N2CC3CN(c4nc(C)cc(C)n4)CC3C2)c(-n2ccnn2)cc1OC,COc1nc(CNC(=O)c2cc(-c3cncc(C)c3)ncc2-c2nccs2)ccc1C1CC1,5.0,8.986771734266245,0.23655913978494625,0.2871980644345258
COc1cccc(OC)c1C(=O)N1CC2CN(c3ccc(C(F)(F)F)cn3)CC2C1,Cc1c(C#N)ccnc1O[C@@H]1CC[C@@H](C)N(C(=O)c2ccccc2OC(F)(F)F)C1,5.0,8.903089986991944,0.2441860465116279,0.2779276238507728
C[C@@H]1CS[C@@H](COc2ccc(Cl)cn2)CN1C(=O)c1ccccc1-n1nccn1,Cc1nccnc1N1C[C@@H]2CCN(C(=O)c3ccccc3-n3nccn3)C[C@@H]21,8.769551078621726,5.0,0.38461538461538464,0.3125357905400692
COc1cc(Br)c(C(=O)N2CC3CN(c4nc(C)cc(C)n4)CC3C2)cc1OC,COc1ccc(CNC(=O)c2cc(-c3cc(C)cc(Cl)c3)nnc2N2CCOCC2)cc1OC,5.0,8.982271233039569,0.2261904761904762,0.2828561552943071
Cc1ccc(-n2nccn2)c(C(=O)N2CC3CC(Oc4cnc(C(F)(F)F)cn4)C2C3)n1,C[C@@H]1CC[C@@H](Nc2cc(C#N)ccn2)CN1C(=O)c1ccccc1-n1nccn1,5.0,8.954242509439325,0.24731182795698925,0.28639149296702276
Cc1cc(C)nc(N2CC3CN(C(=O)c4occc4C)CC3C2)n1,C[C@@H]1CC[C@@H](Nc2cc(C#N)ccn2)CN1C(=O)c1ccccc1-n1nccn1,5.0,8.954242509439325,0.19753086419753085,0.26922345178582247
C[C@@H]1CC[C@@H](Sc2cc(C#N)ccn2)CN1C(=O)c1ccccc1-n1nccn1,CC(/C=C/c1ccccc1)=N/Nc1nc(Nc2ccccc2)nc(-n2nc(C)cc2C)n1,8.769551078621726,4.749579997691106,0.11702127659574468,0.2532156160283886
