smiles_1,smiles_2,props_1,props_2,sim,ts_sali
CC(C)(N)C(=O)N[C@H](COCc1ccccc1)c1nnn(CC2Cc3ccccc3N2S(C)(=O)=O)n1,CC(C)(N)C(=O)N[C@H](COCc1ccccc1)c1nnnn1CCOC(=O)N1CC[C@@H](O)C1,6.262807357295262,9.0,0.4148936170212766,0.18070383704657755
CC(C)(N)C(=O)N[C@H](COCc1ccccc1)c1nnnn1CCCC(=O)N[C@H]1CC[C@H](O)CC1,CC(C)(N)C(=O)N[C@H](COCc1ccccc1)c1nnnn1CCCC(=O)NCCCCCO,6.283162276700476,8.886056647693163,0.7012987012987013,0.25007175145185945
CC(C)(N)C(=O)N[C@H](COCc1ccccc1)c1nnn(C/C=C/c2ccccc2)n1,CC(C)(N)C(=O)N[C@H](COCc1ccccc1)c1nnnn1CCOC(=O)N1CC[C@@H](O)C1,6.286509456906058,9.0,0.4470588235294118,0.18592104509442217
C[C@H]1CN(Cc2ccc(-n3ccnc3C(=O)N3CCC(Nc4cccc(F)c4)CC3)cc2)C[C@@H](C)N1,C[C@@H]1C(=O)N[C@H](Cc2ccc(F)cc2)C(=O)NCCCc2ncccc2OCCN[C@@H](C2CC2)C(=O)N1C,6.299997602857746,9.0,0.22429906542056074,0.13632890208282017
CCC[C@H](NC(=O)[C@@H](Cc1cccc2ccccc12)NC(=O)[C@@H](N)CCCCN)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(N)=O,COc1ccc(Cn2c([C@@H](Cc3c[nH]c4ccccc34)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(C)=O)nnc2[C@@H](Cc2c[nH]c3ccccc23)NC(=O)C(C)(C)N)cc1,6.302683458267617,8.903089986991944,0.4105263157894737,0.1620909751436916
Cc1cc(-c2ccc3c(c2)CCC3N2CCC(N(C)C(=O)N[C@@H](CC3CC3)c3ccc(-c4cnccn4)c(Cl)c3Cl)CC2)ncn1,Cc1ccc2[nH]c(C(=O)N[C@H]3CN(S(=O)(=O)c4cccnc4)C[C@@H]3C(=O)NCCN(C)C)cc2c1,6.315154638355588,8.985059650207063,0.17054263565891473,0.12487761848080602
Cc1cc(-c2ccc3c(c2)CC[C@H]3N2CC3(CCN(C(=O)N[C@@H](C)c4ccc(-c5cnccn5)c(Cl)c4Cl)CC3)C2)ncn1,Cc1ccc2[nH]c(C(=O)N[C@H]3CN(S(=O)(=O)c4cccnc4)C[C@@H]3C(=O)NCCN(C)C)cc2c1,6.316052869248487,8.985059650207063,0.15625,0.12271035758732422
CC(C)(N)C(=O)N[C@H](COCc1ccccc1)c1nnn(Cc2ccccc2NS(C)(=O)=O)n1,CC(C)(N)C(=O)N[C@H](COCc1ccccc1)c1nnnn1CCOC(=O)N1CC[C@@H](O)C1,6.370590400897281,9.0,0.4222222222222222,0.16849380978455358
CC(Oc1ccccc1)C(=O)N(C[C@H]1CCCN1)c1ccccc1,Cc1ccc2[nH]c(C(=O)N[C@H]3CN(S(=O)(=O)c4ccccc4)C[C@@H]3C(=O)NC[C@H]3CCCN3)cc2c1,6.356547323513812,8.981818607170663,0.26136363636363635,0.13506441841903666
COc1ccc([C@H](CC2CC2)NC(=O)N(C)C2CCN(C3CCc4cc(-c5cc(C)ncn5)ccc43)CC2)c(Cl)c1Cl,CN(C(=O)c1cc(-c2ccccc2Cl)on1)[C@H]1CN(S(=O)(=O)c2ccccc2)C[C@@H]1C(=O)N[C@H]1CCCNC1,6.357535479757878,8.980883709552927,0.1693548387096774,0.12039086612782733
