position_diff,jaccard
0,1.0
1,0.3333333333333333
1,1.0
1,0.6
1,1.0
0,1.0
0,1.0
0,1.0
2,0.8
0,0.8181818181818182
1,0.8333333333333334
3,1.0
1,0.8571428571428571
1,1.0
2,0.875
1,0.8823529411764706
1,1.0
0,1.0
2,0.9
3,0.8181818181818182
1,0.9090909090909091
3,0.9130434782608695
1,1.0
0,1.0
0,1.0
1,0.9259259259259259
1,1.0
0,1.0
0,1.0
0,1.0
1,0.9375
1,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
1,0.9512195121951219
1,0.9523809523809523
2,1.0
0,1.0
0,1.0
10,0.9565217391304348
32,0.9166666666666666
15,0.88
5,0.8461538461538461
26,0.8148148148148148
2,0.7857142857142857
22,0.7586206896551724
1,0.7931034482758621
17,0.7966101694915254
15,0.7704918032786885
1,0.7741935483870968
1,0.7777777777777778
17,0.78125
5,0.7575757575757576
2,0.7352941176470589
6,0.7142857142857143
6,0.7183098591549296
14,0.7222222222222222
1,0.726027397260274
8,0.7297297297297297
12,0.7105263157894737
13,0.7142857142857143
2,0.7402597402597403
19,0.7435897435897436
21,0.7692307692307693
25,0.7948717948717948
10,0.775
4,0.8
19,0.825
27,0.85
25,0.875
19,0.8765432098765432
6,0.9012345679012346
18,0.9259259259259259
3,0.926829268292683
34,0.927710843373494
22,0.9518072289156626
1,0.9523809523809523
3,0.9761904761904762
6,0.9534883720930233
2,0.9318181818181818
28,0.9325842696629213
2,0.9550561797752809
6,0.9340659340659341
11,0.9139784946236559
6,0.9354838709677419
30,0.9157894736842105
9,0.8969072164948454
7,0.8979591836734694
2,0.9183673469387755
2,0.9387755102040817
5,0.9393939393939394
0,0.94
12,0.9215686274509803
5,0.9038461538461539
12,0.9230769230769231
4,0.9238095238095239
4,0.9245283018867925
7,0.9252336448598131
15,0.9439252336448598
1,0.9444444444444444
7,0.9629629629629629
5,0.9454545454545454
1,0.9459459459459459
14,0.9292035398230089
17,0.9298245614035088
0,0.9304347826086956
3,0.9478260869565217
5,0.9316239316239316
0,0.9322033898305084
2,0.9166666666666666
14,0.9173553719008265
14,0.9338842975206612
5,0.9504132231404959
4,0.9508196721311475
16,0.9354838709677419
12,0.936
19,0.9212598425196851
15,0.921875
13,0.9076923076923077
9,0.9083969465648855
6,0.9090909090909091
2,0.9097744360902256
6,0.8962962962962963
15,0.8970588235294118
22,0.8978102189781022
1,0.8848920863309353
10,0.8992805755395683
7,0.9136690647482014
6,0.9280575539568345
43,0.9148936170212766
11,0.9290780141843972
18,0.9432624113475178
7,0.9574468085106383
0,0.9577464788732394
5,0.958041958041958
11,0.972027972027972
18,0.9722222222222222
1,0.9724137931034482
51,0.9726027397260274
45,0.9594594594594594
3,0.9466666666666667
13,0.9342105263157895
22,0.922077922077922
25,0.9225806451612903
44,0.910828025477707
1,0.89937106918239
13,0.9
6,0.8888888888888888
8,0.8895705521472392
1,0.8787878787878788
19,0.8795180722891566
1,0.8690476190476191
15,0.8809523809523809
11,0.8928571428571429
10,0.9047619047619048
10,0.8941176470588236
17,0.8947368421052632
18,0.884393063583815
7,0.8850574712643678
3,0.8857142857142857
7,0.8757062146892656
5,0.8659217877094972
7,0.8770949720670391
11,0.8674033149171271
6,0.8681318681318682
6,0.8688524590163934
9,0.8797814207650273
9,0.8907103825136612
5,0.9016393442622951
8,0.912568306010929
22,0.9234972677595629
22,0.9344262295081968
19,0.9347826086956522
8,0.9247311827956989
45,0.9251336898395722
3,0.925531914893617
9,0.9157894736842105
15,0.90625
5,0.9166666666666666
34,0.917098445595855
1,0.9175257731958762
34,0.9278350515463918
5,0.9282051282051282
42,0.9285714285714286
